	zero	Kinesis	telicity	durative	affirmation	mode	P_affectedness	P_definiteness	P_animacy	P_concreteness	A_definite	A_animacy	A_number	clause	corpus
dilakukan	oleh	1	0	1	1	1	0	0	0	0	1	1	2	relative	web
dilakukan	oleh	1	0	1	1	1	0	1	0	0	0	1	5	main	web
diberikan	zero	1	1	0	1	1	0	0	0	0	0	1	1	relative	kompas
dilakukan	oleh	1	1	1	1	1	0	0	0	0	0	1	2	main	kompas
dilakukan	oleh	1	1	1	1	1	0	0	0	0	0	1	2	relative	web
dilakukan	zero	1	0	1	1	0	0	0	0	0	0	1	1	relative	kompas
ditemukan	zero	1	1	0	1	1	0	0	0	1	0	1	1	relative	kompas
digunakan	oleh	1	0	1	1	1	0	1	0	0	0	1	4	main	web
dilakukan	oleh	1	0	1	1	1	0	0	0	0	0	1	2	main	kompas
dilakukan	oleh	1	0	1	1	1	0	0	0	0	0	1	6	main	web
dilakukan	zero	1	0	1	1	1	0	0	0	0	1	0	1	relative	kompas
dilakukan	zero	1	1	1	1	1	0	1	0	0	1	0	4	sub	web
dilakukan	zero	1	0	0	1	1	0	1	0	0	1	1	1	relative	kompas
disebut	oleh	1	1	0	1	1	0	1	0	0	1	1	3	main	web
diberikan	oleh	1	1	1	1	1	0	0	0	0	0	0	4	relative	web
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	0	2	relative	kompas
dilakukan	zero	1	1	1	1	1	0	1	0	0	0	1	2	relative	kompas
dilakukan	zero	1	1	0	1	1	0	1	0	0	0	1	4	sub	kompas
dilakukan	zero	1	1	1	1	1	0	1	0	0	1	1	7	relative	kompas
digunakan	oleh	0	0	1	1	1	0	0	0	0	0	1	3	relative	web
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	1	3	relative	kompas
diberikan	oleh	1	1	1	1	1	0	0	0	0	0	1	2	relative	web
digunakan	oleh	1	0	1	1	1	0	1	0	0	0	0	2	main	web
dilakukan	oleh	1	0	1	1	1	0	1	0	0	1	0	2	main	web
dikenal	oleh	0	0	1	0	1	0	1	0	0	0	0	2	relative	web
dikatakan	zero	1	1	0	1	1	0	1	0	0	1	1	1	relative	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	0	3	main	web
dilakukan	zero	1	1	1	1	1	0	1	0	0	1	1	4	main	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	0	1	2	main	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	0	1	1	relative	kompas
dilakukan	zero	1	0	1	1	1	0	0	0	0	1	1	2	relative	web
dikatakan	zero	1	1	1	1	1	1	1	1	1	1	1	4	relative	web
digunakan	zero	1	0	1	1	1	0	1	0	0	1	0	7	relative	kompas
dilakukan	oleh	1	0	1	1	1	0	1	0	0	0	1	2	main	web
dilakukan	oleh	1	1	1	1	1	0	1	0	0	0	1	4	adverbial	web
dilakukan	oleh	1	0	1	0	1	0	1	0	0	1	0	3	main	web
dilakukan	zero	1	0	1	1	1	0	0	0	0	0	1	2	relative	kompas
dilakukan	zero	1	0	1	1	1	0	0	0	0	0	1	7	relative	kompas
digunakan	zero	1	0	1	1	1	0	1	0	0	1	1	1	relative	kompas
dikatakan	zero	1	1	1	1	1	1	1	0	0	1	1	3	main	kompas
dikenal	zero	0	0	1	0	1	0	0	0	0	0	0	1	relative	kompas
dilakukan	oleh	1	0	1	1	0	0	0	0	0	1	0	1	relative	kompas
dikatakan	zero	1	1	1	1	1	0	1	0	0	1	1	9	main	kompas
dilakukan	oleh	1	1	1	1	1	0	1	0	0	1	1	1	main	web
dikatakan	zero	1	1	1	1	1	0	1	0	0	1	1	11	main	kompas
dilakukan	oleh	1	1	1	1	0	0	0	0	0	0	1	6	main	web
dilakukan	zero	1	1	1	1	1	0	0	0	0	0	1	2	relative	web
digunakan	oleh	1	0	1	0	1	0	1	0	0	0	1	1	main	web
dilakukan	zero	1	1	1	1	1	0	1	0	0	1	0	3	relative	kompas
digunakan	zero	1	0	1	1	1	0	0	0	0	0	1	1	relative	web
dikatakan	zero	1	1	1	1	1	0	1	0	0	1	1	1	main	kompas
diberikan	zero	1	1	1	1	1	0	0	0	0	1	1	1	relative	kompas
diberikan	zero	1	1	0	1	1	0	0	0	0	1	0	2	relative	web
dilakukan	oleh	1	0	1	1	1	0	0	0	0	1	0	2	relative	web
diberikan	zero	1	1	1	1	1	0	0	0	0	0	1	2	relative	kompas
ditemukan	oleh	1	1	0	1	1	0	1	0	0	1	1	1	main	web
diperlukan	oleh	0	0	1	1	1	0	0	0	0	1	1	1	relative	web
dilakukan	oleh	1	1	1	1	1	0	1	0	0	0	1	1	main	web
diberikan	zero	1	1	1	1	1	0	0	0	0	0	1	1	adverbial	kompas
dilakukan	oleh	1	0	1	1	1	0	0	0	0	0	1	4	relative	web
dilakukan	oleh	1	1	1	1	1	0	0	0	0	0	0	1	main	kompas
dibuat	oleh	1	1	1	1	1	1	0	0	0	1	1	1	relative	web
disebut	zero	1	1	1	1	1	0	1	0	0	0	1	1	relative	web
dilakukan	oleh	1	1	1	1	1	0	0	0	0	0	1	5	relative	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	0	1	2	relative	kompas
dianggap	zero	0	0	1	1	1	0	0	0	0	0	1	4	relative	kompas
dilakukan	oleh	1	0	1	0	1	0	0	0	0	1	0	2	main	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	0	5	relative	kompas
dilakukan	zero	1	0	1	1	1	0	0	0	0	1	0	1	relative	web
dilakukan	oleh	1	1	1	1	1	0	0	0	0	0	1	3	relative	web
dilakukan	oleh	1	1	0	1	1	0	1	0	0	0	1	2	main	kompas
dikatakan	zero	1	1	1	1	1	0	1	0	0	1	1	2	main	kompas
diberikan	oleh	1	1	0	1	1	0	0	0	1	1	1	1	relative	web
